,pr_predict_cc
0,0.807772652810278
1,1.0058753288049318
2,0.44780902983380955
3,0.7151280480860563
4,2.8458408270191917
5,0.43669444898098086
6,12.226980761714286
7,7.268182101333333
8,0.3100852467471203
9,0.2490708916393996
10,0.6998996127793591
11,4.116519045177936
12,0.2490708916393996
13,2.0550692350826836
14,1.342255507625
15,0.0
16,0.3683135775614551
17,0.6730669859857141
18,0.9965196912830685
19,4.297522595919395
20,0.062312668492904746
21,0.6677996305737396
22,12.803540705514285
23,2.8246335527359525
24,6.175087204713034
25,1.08740079083
26,0.4632530838583949
27,0.42726281108203834
28,2.099716364186667
29,0.36101653372747433
30,0.31332921331170355
31,8.598407612509998
32,4.331726377451299
33,19.125544086990477
34,7.475807429893808
35,6.73127627880381
36,2.5584875939650003
37,11.38384185943016
38,3.2613062921566667
39,0.00595242041545045
40,0.9965196912830685
41,0.8216695609186868
42,0.05508677335770411
43,0.0
44,0.0
45,0.2120595535562034
46,0.0
47,14.119622182
48,0.40653443598402716
49,0.015692336228393396
50,1.889015799948254
51,0.7909264372922343
52,0.012424545512266743
53,0.0
54,0.0
55,1.4816371824707937
56,1.6870700140032588
57,0.18406935844261013
58,2.714925312808788
59,5.441721534927778
60,0.4674354704917282
61,0.5227730864002987
62,0.19805761294338625
63,0.4674354704917282
64,0.6069985866368182
65,0.025502060610584843
66,2.760028922772137
67,0.2120595535562034
68,0.0
69,0.1855065593749773
70,0.0
71,0.06942640583071225
72,6.537362513402857
73,4.989186618464881
74,5.162627964068095
75,3.2091685694911845
76,9.033011498289522
77,4.234879946379047
78,1.0852866024485717
79,1.8309850330165076
80,0.12064733648951931
81,0.015692336228393396
82,0.13807781716872997
83,1.9739642008164224
84,0.48414394368088887
85,0.41653747048461537
86,0.12642220875060933
87,0.05508677335770411
88,0.0
89,0.015692336228393396
90,0.011225058449424553
91,0.0
92,0.0
93,0.0
94,0.0
95,4.801411449619841
96,4.234879946379047
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.007915941305801921
110,2.2561807483875
111,0.646019275409596
112,0.012424545512266743
113,0.0
114,0.022864815386447666
115,0.0
116,0.0
117,0.0
118,0.12064733648951931
119,0.7862066110311232
120,0.007915941305801921
121,0.014775977077686533
122,0.0
123,0.0
124,0.0
125,1.3332610017411892
126,2.2561807483875
127,0.0
128,1.187888181689804
129,2.387541902732381
130,0.26004112083973163
131,0.0
132,0.3704020232297663
133,4.698076981514285
134,3.1874072196981684
135,0.011758349863313441
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,1.0691158712265154
144,0.0
145,0.024530808331097657
146,0.0
147,0.43669444898098086
148,0.0
149,0.007915941305801921
150,0.0
151,0.019288282241650388
152,3.8467617221628574
153,1.0562946742208332
154,0.594243467839174
155,8.583414578520001
156,0.015692336228393396
157,0.0
158,0.14462193217243108
159,0.05508677335770411
160,1.617145364293182
161,1.2821010156834851
162,0.15001875664047618
163,0.10485797072175759
164,0.015692336228393396
165,0.0
166,0.0
167,0.5790125567011558
168,0.31332921331170355
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.14462193217243108
177,2.5406032802838094
178,0.033240944663358744
179,0.0
180,0.0
181,0.007915941305801921
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.3014938429662902
193,9.956008446022222
194,0.0
195,0.0
196,0.07552524511428181
197,0.0
198,0.007915941305801921
199,19.477314215999996
200,0.5275319283466692
201,0.0
202,0.024530808331097657
203,0.14086121830168735
204,0.024530808331097657
205,4.528558064521818
206,0.2120595535562034
207,2.5406032802838094
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.46980987754611414
215,2.520157628643345
216,0.5539156296207748
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.1033080428354705
227,0.23815681870891026
228,0.0
229,0.0
230,0.10485797072175759
231,0.007915941305801921
232,10.7722502515
233,0.007915941305801921
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,2.1943182488555086
243,3.4937094787716334
244,3.666655413249921
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.1687164406352179
252,0.10485797072175759
253,0.0971765880713451
254,0.0
255,0.0
256,0.0
257,0.0
258,0.6343124391833334
259,0.015692336228393396
260,0.0
261,0.0
262,0.007915941305801921
263,0.5227730864002987
264,0.04329762669441991
265,0.24418341802808968
266,1.8694169554453333
267,0.5838721554132882
268,0.015692336228393396
269,0.24004332301224357
270,6.005659587813334
271,0.015692336228393396
272,0.18696196438620533
273,0.0
274,0.03172782599669975
275,0.1687164406352179
276,14.135911044000002
277,12.3559059255
278,0.05438642846905941
279,0.033240944663358744
280,1.7117377838923378
281,2.760028922772137
282,31.874150607999997
283,3.7320598546342856
284,0.252544079569821
285,0.16654145690370278
286,19.15283556432381
287,0.49499334574326764
288,0.0
289,0.033240944663358744
290,3.666655413249921
291,4.801411449619841
292,1.156582827101452
293,13.696115512714286
294,27.165537200666666
295,5.041675324609524
296,5.801485328269999
297,13.924475889499998
298,3.7436950994942855
299,4.4151064439871215
300,1.0333105437634005
301,0.10485797072175759
302,0.22543640318568547
303,0.0
304,0.0
305,0.0
306,0.3831777605156522
307,0.009844086097425628
308,0.3961262916123589
309,0.03978654631377698
310,0.0
311,0.1736537936989789
312,1.4292586954847224
313,0.6203514101929762
314,0.10201121422832764
315,9.430305250866667
316,0.43813564772643543
317,0.02997389046993053
318,0.033240944663358744
319,7.069484992767857
320,4.244047655066668
321,8.343945514609524
322,33.95637602
323,6.946515878575715
324,21.56738929590476
325,3.7320598546342856
326,3.439563241601212
327,1.4564821579932707
328,0.3119456085583702
329,0.0
330,0.061343114201333857
331,0.09446323607677072
332,0.3100852467471203
333,0.31332921331170355
334,0.09446323607677072
335,0.53410228753367
336,14.144635208000002
337,7.465410970629523
338,2.624749176111428
339,0.11074976377474696
340,2.11414941525094
341,1.7117377838923378
342,7.582668094281667
343,2.2588685400700395
344,1.1466915549106156
345,8.179503766633333
346,1.8209841810019838
347,0.5581182974188197
348,0.4578102393622759
349,0.007915941305801921
350,0.04831657398547033
351,1.3957864765607144
352,15.833875149428573
353,5.783221792400001
354,1.4158001500222996
355,2.220253438116555
356,33.811076185999994
357,1.7958492966152704
358,0.7766941658280392
359,0.8032254570858335
360,3.762824822822013
361,8.33477264512381
362,0.08016770951310295
363,0.8874537610817308
364,6.776285311365872
365,17.109782853
366,10.4961680123
367,4.528558064521818
368,1.4158001500222996
369,6.412502059420001
370,0.49499334574326764
371,6.137038603765801
372,5.012051250552381
373,2.283817468458333
374,4.198055458313333
375,0.7260741307479569
376,11.738022534399999
377,12.807863618514284
378,15.485297644
379,9.308484860833332
380,6.537362513402857
381,4.989186618464881
382,3.7320598546342856
383,4.271603598812726
384,1.1130259812596301
385,0.009844086097425628
386,0.13080889110015112
387,0.33136732555077425
388,2.11414941525094
389,0.019759328537088984
390,0.0
391,0.12382923898269278
392,5.049282228706494
393,4.34153323023352
394,1.1942375958407143
395,0.9776488169747898
396,0.736798837019183
397,10.640365630866667
398,1.1324033107062932
399,0.10485797072175759
400,0.12064733648951931
401,0.020595717620475466
402,0.25848415314785483
403,0.41653747048461537
404,0.276211349717541
405,0.12064733648951931
406,0.9029615243713012
407,0.04951363488832748
408,0.16235144327833334
409,0.7260741307479569
410,0.050448881259206615
411,0.024530808331097657
412,0.594243467839174
413,1.1294549312929598
414,1.7473458325936975
415,0.33136732555077425
416,16.741862431933335
417,1.4701914031503136
418,4.388033013384849
419,1.342255507625
420,2.7117474923966665
421,1.9739642008164224
422,2.7039028990336362
423,0.024530808331097657
424,0.0971765880713451
425,1.9905471646344446
426,3.4169256025642314
427,1.9739642008164224
428,2.3090051898757147
429,5.4989390264297615
430,3.0097617463761495
431,7.003623999243334
432,9.067214043192859
433,2.283817468458333
434,1.8397522593888886
435,0.04446038341918181
436,0.14547533300338347
437,2.1943182488555086
438,2.498428039861538
439,3.070161385460589
440,0.28976166921647534
441,0.285801248741524
442,6.839870824875253
443,6.784378501194444
444,0.08846742082559737
445,0.0
446,0.015692336228393396
447,0.0
448,0.11793390760896102
449,0.024530808331097657
450,0.024530808331097657
451,2.3090051898757147
452,0.5625131358689224
453,0.3683135775614551
454,0.23098730052369412
455,0.015692336228393396
456,0.0
457,0.0
458,0.0
459,0.10065213104236273
460,0.252544079569821
461,0.015692336228393396
462,0.0
463,0.03819729538743424
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0032397404228070173
471,0.0
472,0.07056506447071224
473,0.061343114201333857
474,0.8662179695824552
475,0.0
476,0.07056506447071224
477,0.8874537610817308
478,0.41653747048461537
479,0.015692336228393396
480,0.0
481,0.0
482,0.0
483,0.04446038341918181
484,0.646019275409596
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.49499334574326764
529,0.018411363321795205
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.3526278111906303
555,2.0833354865672655
556,0.05508677335770411
557,0.0
558,0.0
559,0.0
560,0.0
561,0.015692336228393396
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.12382923898269278
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.06520107825831258
589,17.855211950333334
590,9.025787158009525
591,0.009844086097425628
592,0.013474659263544053
593,0.0
594,0.0
595,0.020595717620475466
596,1.4382149497509942
597,0.0
598,0.20287609082181204
599,0.16654145690370278
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.8274343659218616
611,0.0
612,0.0
613,0.0
614,0.18406935844261013
615,0.0
616,0.7909264372922343
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.05375836764949232
628,0.20287609082181204
629,2.7887501467353846
630,0.46980987754611414
631,0.009844086097425628
632,0.0
633,0.0
634,0.007915941305801921
635,0.0
636,0.0
637,0.0
638,0.03610967571422309
639,0.012801903920266741
640,0.07324708907142094
641,0.0
642,2.8425087412191923
643,2.0542113349262734
644,0.35690468060465075
645,12.824472063514287
