,pr_predict_cc
284,0.251737485
285,0.199955795
286,10.97598196
287,0.297776152
288,0.182054296
289,0.523152936
290,3.842699753
291,5.44663056
292,1.109466113
293,12.89976546
294,27.06199081
295,5.916853487
296,6.384105748
297,16.74116328
298,4.092499
299,5.323325344
300,0.861640702
301,0.085019524
302,0.065366287
303,0.05351236
304,0.001176943
305,0
306,0.052845727
307,0
308,0.110448609
309,0.13449059
310,0
311,0.256755268
312,0.548430979
313,0
314,0.216669806
315,10.0382965
316,0.331683933
317,0.082020376
318,0.113653423
319,8.669037414
320,4.943365391
321,8.12055378
322,18.6926738
323,7.291239293
324,16.27443463
325,4.323761721
326,3.861411245
327,1.312873489
328,0.167914379
329,0.852274279
330,0.236985022
331,0.238572523
332,0.39173428
333,0.509095137
334,0.376847304
335,0.656128758
336,15.14666124
337,7.147135959
338,2.907094859
339,0.162458451
340,1.765548079
341,0.762383246
342,9.031105197
343,2.097108576
344,1.650879419
345,10.05262189
346,1.908672208
347,0.036842359
348,0.43825328
349,0.057350734
350,0.18375185
351,1.150898285
352,11.04926181
353,5.901963143
354,1.462562449
355,2.55980918
356,17.28660621
357,1.444415759
358,0.701855459
359,0.714453047
360,4.139651833
361,7.45132451
362,0.696070273
363,0.716785556
364,7.627863543
365,20.4697639
366,11.69790967
367,5.136355677
368,1.072818111
369,7.562522051
370,0.37660673
371,6.103632256
372,5.158979849
373,2.455516389
374,4.622028155
375,0.144613452
376,12.77582946
377,16.77409134
378,17.61980569
379,9.60827122
380,7.180551569
381,5.61513272
382,4.053323675
383,4.649225252
384,0.926957854
385,0.054436197
386,0.16658227
387,0.256420643
388,2.343366693
389,1.06813077
390,0
391,0.536629377
392,6.93645402
393,4.336836458
394,0.670962113
395,0.952076873
396,0.730725441
397,12.6933427
398,0.823235479
399,0.182213043
400,0.206922991
401,0.007818844
402,0.204202832
403,0.305007482
404,0.231323233
405,0.173961715
406,0.820865721
407,0.192907074
408,0.200819157
409,0.64487018
410,0.14067132
411,0.183650643
412,0.484163192
413,0.722440806
414,1.039300362
415,0.116533318
416,10.34022489
417,0.876567406
418,4.918694193
419,0.486349122
420,2.76135583
421,2.00684567
422,2.857006634
423,0.103382111
424,0.143010736
425,2.266509462
426,3.970993132
427,2.003441438
428,2.298627728
429,6.869118341
430,3.128280654
431,8.495170611
432,9.283316109
433,2.377457551
434,1.892620301
435,0.064922605
436,0.235384317
437,2.270577448
438,2.69326354
439,3.371665358
440,0.240366332
441,0.241727247
442,6.645274792
443,6.888004959
444,0.192118073
445,0.006782855
446,0.102985659
447,0
448,0.112969737
449,0.172675983
450,0.689935412
451,1.783754015
452,0.083445019
453,0.346476035
454,0.17440728
455,0.090722657
456,0
457,0
458,0
459,0.107914167
460,0.230517735
461,0.145721059
462,0.069423116
463,0.121621811
464,0.033839155
465,0
466,0.021318467
467,0
468,0.103834924
469,0.126972893
470,0.195076874
471,0
472,0.231408304
473,0.218930452
474,0.193272929
475,0.031040108
476,0.15285944
477,0.839899835
478,0.327366727
479,0.06750382
480,0.131634153
481,0.248366111
482,0.084548143
483,0.094042058
484,0.718246947
485,0.085323557
486,0
487,0
488,0.02510655
489,0.009542301
490,0.061425321
491,0.031754681
492,0.073381308
493,0
494,0
495,0.008538194
496,0
497,0
498,0
499,0.013912091
500,0
501,0
502,0
503,0
504,0
505,0.032733862
506,0.030225459
507,0
508,0.09497634
509,0
510,0
511,0
512,0.122167765
513,0
514,0
515,0.014599559
516,0
517,0
518,0.050214092
519,0
520,0.001142944
521,0.073850168
522,0
523,0
524,0.000162508
525,0.063733126
526,0
527,0.061890938
528,0.418006954
529,0.1298099
530,0.102861282
531,0.058464063
532,0.050777244
533,0.067452592
534,0
535,0.002969998
536,0
537,0
538,0.058543306
539,0
540,0
541,0.048001312
542,0
543,0
544,0
545,0.053220206
546,0.02934117
547,0
548,0.034345349
549,0
550,0.107364904
551,0.036516337
552,0.018589845
553,0.033104936
554,0.323863865
555,2.484553473
556,0.071173222
557,0.126275699
558,0.007436949
559,0.11413985
560,0
561,0.122484754
562,0.032816001
563,0.049319087
564,0.02823938
565,0
566,0.137261473
567,0.21653
568,0
569,0.023099029
570,0.026791691
571,0.015148521
572,0.111620845
573,0
